Date,Return,(#) Ease of Coding,(#) Journalist Confidence,Clarity,Number of Coders,Article Title,Newspaper,Article Link/Location,Commodities,Corporate,Elections,Exrate,Foreign,Govspend,Trade,Macro,Monetary,Noart,Other,Otherpol,Reg,Sovmil,Taxes,Terror,Unknown,Policy,Year,Month,Day
3/5/2020,-0.03392202216,2.400,3.000,1.445,5,"Stocks Close Sharply Lower as AnxietyAbout Virus Returns",Wall Street Journal,https://www.wsj.com/articles/global-markets-follow-u-s-stocks-higher-11583376176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.050,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.200,0.200,2020,3,5
3/4/2020,0.04220259242,2.500,3.000,1.289,4,"Stocks Rally as Super Tuesday Results Buoy Health Insurers",Wall Street Journal,https://www.wsj.com/articles/some-global-markets-buck-u-s-declines-11583286397,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.250,0.125,2020,3,4
3/3/2020,-0.02810794019,1.600,1.800,-0.249,5,Stocks Fall Sharply Despite Surprise Fed Rate Cut,Wall Street Journal,https://www.wsj.com/articles/global-stocks-gain-on-stimulus-hopes-11583206230,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.400,2020,3,3
3/2/2020,0.04603922524,3.000,3.000,1.423,4,Dow Industrials Rally 5.1% on Central-Bank Stimulus Hopes,Wall Street Journal,https://www.wsj.com/articles/treasury-yields-near-1-as-asian-markets-open-lower-11583114956,0.000,0.375,0.000,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,2020,3,2
2/27/2020,-0.0442,3.000,3.000,1.679,5,"U.S. Stocks Slide Into a Correction as VirusFears Show No Sign of Easing",Wall Street Journal,https://www.wsj.com/articles/global-stocks-extend-declines-as-coronavirus-concerns-mount-11582784087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,2020,2,27
2/25/2020,-0.0303,3.000,3.000,1.679,5,"Dow Industrials Close Nearly 900 Points Lower",Wall Street Journal,https://www.wsj.com/articles/global-stocks-stabilize-after-deep-selloff-11582621412,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2020,2,25
2/24/2020,-0.0335,3.000,3.000,1.679,5,"Dow Industrials Close 1,000 Points Lower as Coronavirus Cases Mount",Wall Street Journal,https://www.wsj.com/articles/stocks-fall-as-coronavirus-spread-accelerates-outside-china-11582533308,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.300,0.100,0.000,0.000,0.000,0.400,2020,2,24
8/23/2019,-0.0259,3.000,3.000,1.679,2,"Stocks, Bond Yields Fall Sharply on Trade Tensions",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,2019,8,23
8/14/2019,-0.0293,3.000,3.000,0.733,2,Dow Sheds 800 in Biggest Drop of Year,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.500,2019,8,14
8/5/2019,-0.0298,3.000,3.000,1.484,2,Stocks Fall Sharply as Yuan Reels and Trump Jabs at China,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.125,0.000,0.000,0.000,0.000,0.500,0.000,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,2019,8,5
1/4/2019,0.0343,3.000,3.000,1.679,2,"U.S. Stocks Surge on Powell Remarks, Jobs Report",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.375,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.625,2019,1,4
12/26/2018,0.0496,2.667,2.667,0.038,3,"Dow Industrials Leap More Than 1,000 Points",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.666667,0,2018,12,26
12/24/2018,-0.0271,2.333,2.667,0.813,3,Dow Falls 650 Points Despite Mnuchin’s Bid to Reassure Investors,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.083333,0.25,0,0,0.666667,0,0,0,0,0,0.916667,2018,12,24
12/4/2018,-0.0324,3.000,3.000,1.679,3,Dow Tumbles Nearly 800 Points as Trade Jitters Return,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.916667,0.083333,0,0,0,0,0,0,0,0,0,0.916667,2018,12,4
10/24/2018,-0.0309,1.333,1.333,-1.131,3,U.S. Stocks Fall Sharply as Markets Extend Rocky Stretch,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0.333333,0,0,0.083333,0,0.083333,0.5,0,0,0,0,0,0,0,0,0,0.083333,2018,10,24
10/10/2018,-0.0329,1.667,1.667,-0.463,3,Quickening Retreat From Tech Sinks Market,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.166667,0,0.5,0,0,0,0,0,0,0,0.333333,0.666667,2018,10,10
3/26/2018,0.0272,3.000,3.000,1.679,3,"U.S. Stocks Surge as Trade Worries Ease; The Dow industrials, after its worst week in more than two years, records its biggest one-day point gain in about a decade Banerji, Gunjan; Kantchev, Georgi .",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018,3,26
3/22/2018,-0.0252,3.000,3.000,1.484,3,"U.S. Stocks Sell Off on Concerns About Trade; Dow tumbles more than 700 points, pulled down by shares of manufacturers and banks Wursthorn, Michael; Otani, Akane .",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.916667,0.083333,0,0,0,0,0,0,0,0,0,0.916667,2018,3,22
2/8/2018,-0.0375,1.667,1.667,-0.492,3,"Dow Industrials Plunge Into Correction; Blue- chip index falls more than 1,000 points and is now down more than 10% from its January high Otani, Akane; Sindreu, Jon .",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.583333,0.333333,0,0,0,0,0,0,0,0.083333,0.333333,2018,2,8
2/5/2018,-0.0410,2.333,1.667,-1.109,3,"Dow Drops More Than 1,100 Points in Stock- Market Rout; Blue chips post biggest one-session point decline on record as indexes around the world give up 2018 gains Otani, Akane .",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.083333,0.083333,0,0,0,0,0,0,0,0.833333,0.083333,2018,2,5
6/24/2016,-0.0357,3.000,2.000,0.874,2,"Britain's EU Decision: A Grim Year for Deals Gets Worse ??? Companies that won't be bought, stock and bond offers put on hold are early victims ? ProQ… More like this + Britain's EU Decision: A Grim Year for Deals Gets Worse --- Companies that won't be bought, stock and bond offers put on hold are early victims Margot, Patrick.",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,6,24
1/13/2016,-0.0251,2.000,1.000,0.166,2,"Stocks Take a Beating as Alarm Grows? Investors flee amid anxiety over global economy, oil? Dow nears correction territory ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0.25,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,2016,1,13
9/28/2015,-0.0255,1.000,1.000,-1.144,2,Stocks Stumble Out of Gate --- Dow industrials start week with 312.78- point drop; Biotech and health shares sink -,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,9,28
9/8/2015,0.0254,1.000,1.000,-0.347,2,"Stocks Ride Volatility to a Big Win ??? Blue chips jump 390 points following holiday weekend, as sharp market swings continue ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0.25,2015,9,8
9/1/2015,-0.0294,3.000,3.000,1.679,2,Dow Industrials Plunge 470 ??? U.S. stocks and crude oil resume their declines as another bout of volatility strikes again ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,9,1
8/26/2015,0.0392,2.000,3.000,0.957,2,U.S. Stocks Come Charging Back ??? Six?day losing streak ends as Fed official calls case for September rate increase 'less compelling' ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.875,0.125,0,0,0,0,0,0,0,0,0.125,2015,8,26
8/24/2015,-0.0394,3.000,3.000,1.145,2,"Chinese Shares Stumble Further ??? After 'Black Monday,' Shanghai Composite falls early Tuesday, but other markets perk up ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,8,24
8/21/2015,-0.0317,3.000,1.000,-0.076,2,Few Immune in Stock Selloff ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,8,21
1/2/2013,0.0256,3.000,3.000,0.729,2,"Fresh Budget Fights Brewing ??? Markets Breathe Sigh of Relief After Fiscal Clash, but Tax?and?Cut Battles Loom ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2013,1,2
6/29/2012,0.0252,1.000,2.000,1.053,2,S&P Posts Best Day This Year -,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.25,0,0,0,0,1,2012,6,29
12/20/2011,0.0299,3.000,3.000,1.058,2,"Stocks Reverse Gear, up 337 ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,12,20
11/30/2011,0.0433,3.000,3.000,1.567,2,Investors Go on the Risk Offensive --- Central Banks Spur Broad Global Rally But Caution Persists -,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.125,0.875,0,0,0,0,0,0,0,0,0.875,2011,11,30
11/28/2011,0.0292,2.000,2.000,0.410,2,"Dow Holds Gains, Up 32 Points ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,11,28
11/9/2011,-0.0367,2.000,3.000,0.588,2,Stocks Color The Day In Red -,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,11,9
11/1/2011,-0.0279,2.000,2.000,0.279,2,"Dow Takes Another Drubbing? Blue?Chip Index Sheds 297 Points, With Financial Shares Posting Sharp Declines ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,11,1
10/27/2011,0.0344,3.000,3.000,0.762,2,Cheers and Skepticism Greet European Deal? Dow Jumps 339.51 Despite Questions ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,10,27
10/10/2011,0.0341,2.000,1.000,0.309,2,Rally Has Legs: Dow Up 330.06 ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,10,10
10/3/2011,-0.0284,2.000,1.000,-0.305,2,"Market Nears Bear Territory? U.S. Stocks Down Almost 17% Since April High on Europe, Economic Concerns ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0.125,0,0.875,0,0,0,0,0,0,0,0,0,0.125,2011,10,3
9/22/2011,-0.0320,2.000,3.000,0.712,2,Stock Investors Head for Exits? Dow Slides 3.5% on Economic Gloom ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,9,22
9/21/2011,-0.0292,2.000,2.000,0.318,2,Fed Twist Prompts Markets to Turn -,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,9,21
9/9/2011,-0.0266,3.000,3.000,0.542,2,"Banker's Exit Rattles Markets ??? In Europe, Top ECB Economist Resigns, Seen as Policy Protest? Dow Industrials Fall 303.68 Points ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2011,9,9
9/7/2011,0.0290,2.000,2.000,0.490,2,A Rally by Banks Boosts Blue Chips ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,2011,9,7
9/2/2011,-0.0251,3.000,3.000,1.679,2,Ominous Opening for September ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0.125,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,2011,9,2
8/29/2011,0.0284,3.000,1.000,0.262,2,"Consumers Ramp Up Spending? Healthy Gains Follow Two Flat Months, but Incomes Lag and the Economy Still Confronts Big Risks ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,8,29
8/23/2011,0.0344,1.000,3.000,0.566,2,U.S. Stocks Post Strong Gains ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2011,8,23
8/18/2011,-0.0444,3.000,3.000,1.573,2,"Economy Sinks Markets? Dow Falls 3.7% on Weak Home Sales, Manufacturing and Employment Data ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,8,18
8/11/2011,0.0462,1.000,1.000,-1.656,2,U.S. Stocks Post Second Day of Gains ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,8,11
8/10/2011,-0.0438,1.000,3.000,1.054,2,"Stocks Dive Again on Europe, Economy Fears ??? Dow Sheds Nearly 520 Points? Investors Flock to Bonds Despite Record Low Yields? Rumors Swirl of … More like this + Stocks Dive Again on Europe, Economy Fears --- Dow Sheds Nearly 520 Points; Investors Flock to Bonds Despite Record Low Yields; Rumors Swirl of Weakness in France Lauricella, Tom; Phillips, Matt ; Enrich, David.",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,8,10
8/9/2011,0.0474,3.000,3.000,1.679,2,Rally Masks Real Fears? Investors Express Little Confidence in Policy Makers to Tackle Real Problems ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2011,8,9
8/8/2011,-0.0665,3.000,3.000,1.423,2,"Downgrade Ignites a Global Selloff --- Dow's 634.76-Point Plunge Is Worst Since '08 as Worries Rise About U.S. Economy; Asian Markets Drop… 1Back to results More like this + Downgrade Ignites a Global Selloff --- Dow's 634.76-Point Plunge Is Worst Since '08 as Worries Rise About U.S. Economy; Asian Markets Drop at Open Browning, E S.",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,8,8
8/4/2011,-0.0477,2.000,1.000,0.283,2,"Stocks Nose?Dive Amid Global Fears? Weak Outlook, Government Debt Worries Drive Dow's Biggest Point Drop Since '08 ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0.25,2011,8,4
8/2/2011,-0.0256,2.000,1.000,0.260,2,"Dow Takes 1,010.14-Point Trip --- Biggest Point Fall, Before a Snapback; Glitch to Blame? -",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,8,2
9/1/2010,0.0299,3.000,2.000,1.468,2,Dow Gain of 50.63 Is Third in a Row ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,9,1
8/11/2010,-0.0274,1.000,1.000,0.738,2,"As Investor Nerves Persist, Stocks Fall, Dollar Gains ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0.25,2010,8,11
7/16/2010,-0.0287,3.000,2.000,0.800,2,"Optimism Fades, as Do Stocks ??? Dow Industrials Plunge 261.41 Points as Consumer Sentiment, Earnings From GE and BofA Disappoint ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0.125,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,2010,7,16
7/7/2010,0.0315,3.000,2.000,1.468,2,Stock Futures Rise on Jobless Claims ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7,7
6/29/2010,-0.0312,2.000,2.000,1.208,2,"Dow Slides 10% in Volatile Second Quarter? Investors Hunker Down With Gold, Treasurys as Volatility Spikes? EU Fiscal Uncertainty Remains ?",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,6,29
6/10/2010,0.0292,1.000,2.000,0.676,2,Pfizer Helps Revive the Dow ?,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0.125,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,2010,6,10
